CondoProject,District,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_price,Usage,Category
0,6,2.0,1880,0,1840.0,1,0,0,0,12750.0,15900,Commercial,Institutional
0,3,2.0,1876,0,6377.0,1,5,3,1,11840.0,850000,Commercial,mansion
0,10,1.0,1954,0,5022.0,1,0,0,0,9700.0,119000,Commercial,Institutional
0,1,2.0,1955,0,6420.0,1,0,0,0,8792.0,210000,Commercial,Retail
0,15,2.0,1909,0,5956.0,1,0,0,0,4840.0,48500,Commercial,Retail
0,10,1.0,1954,0,14200.0,1,0,0,0,16696.0,885000,Commercial,Retail
0,12,1.0,1974,0,3750.0,1,0,0,0,10400.0,186000,Commercial,Retail
0,13,1.0,2002,0,2775.0,1,0,0,0,14400.0,225000,Commercial,Gas Station
0,12,2.0,1887,0,3818.0,1,0,0,0,3040.0,100000,Commercial,Restaurant
0,3,2.0,1890,0,2142.0,1,0,0,0,2500.0,150000,Commercial,Restaurant
0,7,2.0,1913,0,3476.0,4,9,1,0,5040.0,42000,Residential,House
0,10,0.0,1953,0,66400.0,1,0,0,0,66400.0,600000,Commercial,advertisement
0,5,1.0,1981,0,3545.0,1,0,0,0,6760.0,190000,Commercial,Institutional
0,3,1.5,1905,0,2100.0,1,3,1,0,7200.0,55000,Commercial,House
0,15,3.0,1929,0,81000.0,1,0,0,0,30000.0,1752700,Commercial,Office
0,1,1.0,1993,0,6360.0,1,0,0,0,50749.0,315000,Commercial,Storage
0,5,1.0,1957,0,1410.0,1,3,1,0,4820.0,105000,Commercial,House
0,10,2.0,1929,0,4810.0,1,0,0,0,4800.0,88000,Commercial,Retail
0,12,2.0,1885,0,4560.0,1,0,0,0,3500.0,150000,Commercial,Retail
0,5,2.0,1953,0,3768.0,1,0,0,0,4800.0,130000,Commercial,Retail
0,12,2.0,1870,0,2999.0,1,0,0,0,3375.0,65000,Commercial,Retail
0,2,1.0,1969,0,6170.0,1,0,0,0,13947.0,235000,Commercial,Retail
0,14,1.0,1958,0,1296.0,1,0,0,0,13539.0,314800,Commercial,Gas Station
0,9,1.0,1985,0,2101.0,1,0,0,0,23052.0,232500,Commercial,Retail
0,8,1.0,1947,0,2500.0,1,0,0,0,2500.0,84500,Commercial,Storage
0,3,3.0,1964,3,35736.0,1,1,1,0,19100.0,2000000,Residential,Apartment
0,7,1.0,1948,0,2560.0,1,0,0,0,9600.0,115000,Commercial,Retail
0,15,0.0,1953,0,2590.0,1,0,0,0,2590.0,48000,Commercial,advertisement
0,3,2.0,1915,0,5826.0,1,3,1,0,6075.0,350000,Commercial,House
0,10,1.5,1905,0,1502.0,1,3,1,0,5242.0,65000,Commercial,House
0,6,2.0,1928,0,5100.0,1,0,0,0,7200.0,120000,Commercial,Retail
0,3,2.0,1924,0,4144.0,1,0,0,0,3000.0,110000,Commercial,Retail
0,10,1.0,1928,0,7869.0,1,0,0,0,11200.0,190000,Commercial,Retail
0,2,1.0,1990,0,6960.0,1,0,0,0,21212.0,825000,Commercial,Retail
0,9,1.0,2002,0,12400.0,1,0,0,0,104588.0,144000,Commercial,Storage
0,10,1.0,1989,0,1080.0,1,0,0,0,4109.0,64000,Commercial,Storage
0,9,0.0,1953,0,37852.0,1,0,0,0,37852.0,68200,Commercial,Land
0,1,2.0,1946,0,3697.0,1,0,0,0,11550.0,130000,Commercial,Institutional
0,15,1.0,1941,0,1338.0,1,0,0,0,4320.0,38000,Commercial,Restaurant
0,12,2.0,1926,0,26130.0,1,0,0,0,17642.0,275000,Commercial,Storage
0,4,1.0,1947,0,3654.0,1,0,0,0,12600.0,81900,Commercial,Institutional
0,14,1.0,1923,0,1895.0,1,0,0,0,2140.0,55000,Commercial,Institutional
0,8,1.0,1984,0,2247.0,1,0,0,0,5000.0,161500,Commercial,Restaurant
0,1,2.0,1949,0,7485.0,1,0,0,0,10759.0,164700,Commercial,Retail
0,6,2.0,1957,0,5382.0,1,0,0,0,4500.0,80000,Commercial,Retail
0,11,2.0,1958,0,3598.0,1,0,0,0,9420.0,230000,Commercial,Retail
0,14,2.0,1912,0,2600.0,1,0,0,0,2000.0,95000,Commercial,Retail
0,9,1.0,1972,0,5075.0,1,0,0,0,14472.0,212000,Commercial,Retail
0,14,2.0,1895,0,5280.0,1,0,0,0,7200.0,64000,Commercial,Restaurant
0,12,2.0,1890,0,2800.0,1,0,0,0,3080.0,55000,Commercial,Restaurant
0,6,2.0,1895,0,2300.0,1,3,1,0,6000.0,55000,Commercial,House
0,3,2.0,1897,0,1992.0,4,2,2,0,2880.0,145000,Residential,Hotel
0,9,2.0,1980,3,31424.0,1,1,1,0,31424.0,1500000,Residential,Apartment
0,2,0.0,1953,0,20982.0,1,0,0,0,20982.0,190000,Commercial,advertisement
0,12,0.0,1953,0,4075.0,1,0,0,0,4075.0,115000,Commercial,advertisement
0,13,0.0,1953,0,9136.0,1,0,0,0,9136.0,105000,Commercial,advertisement
0,11,1.0,1964,0,5318.0,1,0,0,0,13700.0,130000,Commercial,Institutional
0,6,3.0,1928,0,20388.0,1,0,0,0,8526.0,307000,Commercial,Retail
0,7,2.0,1918,0,5812.0,1,0,0,0,4259.0,115000,Commercial,Retail
0,6,2.0,1914,0,2978.0,1,0,0,0,5196.0,20000,Commercial,Retail
0,6,1.0,1936,0,6000.0,1,0,0,0,3750.0,160000,Commercial,Retail
